game_id,referee_id,date,start,visitor_team,visitor_points,home_team,home_points,overtime,attendence
1,50,"Tue, Oct 22, 2019",8:00p,New Orleans Pelicans,122,Toronto Raptors,130,OT,"20,787"
2,11,"Tue, Oct 22, 2019",10:30p,Los Angeles Lakers,102,Los Angeles Clippers,112,,"19,068"
3,11,"Wed, Oct 23, 2019",7:00p,Chicago Bulls,125,Charlotte Hornets,126,,"15,424"
4,26,"Wed, Oct 23, 2019",7:00p,Detroit Pistons,119,Indiana Pacers,110,,"17,923"
5,33,"Wed, Oct 23, 2019",7:00p,Cleveland Cavaliers,85,Orlando Magic,94,,"18,846"
6,19,"Wed, Oct 23, 2019",7:30p,Minnesota Timberwolves,127,Brooklyn Nets,126,OT,"17,732"
7,51,"Wed, Oct 23, 2019",7:30p,Memphis Grizzlies,101,Miami Heat,120,,"19,600"
8,17,"Wed, Oct 23, 2019",7:30p,Boston Celtics,93,Philadelphia 76ers,107,,"20,422"
9,9,"Wed, Oct 23, 2019",8:30p,Washington Wizards,100,Dallas Mavericks,108,,"19,816"
10,46,"Wed, Oct 23, 2019",8:30p,New York Knicks,111,San Antonio Spurs,120,,"18,354"
11,30,"Wed, Oct 23, 2019",9:00p,Oklahoma City Thunder,95,Utah Jazz,100,,"18,306"
12,53,"Wed, Oct 23, 2019",10:00p,Sacramento Kings,95,Phoenix Suns,124,,"18,055"
13,22,"Wed, Oct 23, 2019",10:00p,Denver Nuggets,108,Portland Trail Blazers,100,,"19,991"
14,47,"Thu, Oct 24, 2019",7:00p,Atlanta Hawks,117,Detroit Pistons,100,,"20,338"
15,24,"Thu, Oct 24, 2019",8:00p,Milwaukee Bucks,117,Houston Rockets,111,,"18,055"
16,59,"Thu, Oct 24, 2019",10:30p,Los Angeles Clippers,141,Golden State Warriors,122,,"18,064"
17,4,"Fri, Oct 25, 2019",7:00p,Toronto Raptors,106,Boston Celtics,112,,"18,624"
18,25,"Fri, Oct 25, 2019",7:00p,Minnesota Timberwolves,121,Charlotte Hornets,99,,"14,879"
19,55,"Fri, Oct 25, 2019",7:30p,New York Knicks,109,Brooklyn Nets,113,,"17,732"
20,46,"Fri, Oct 25, 2019",8:00p,Chicago Bulls,110,Memphis Grizzlies,102,,"17,794"
21,48,"Fri, Oct 25, 2019",8:00p,Dallas Mavericks,123,New Orleans Pelicans,116,,"17,027"
