player,team,date,description
Gordon Hayward,BOS,"Wed, Dec 11, 2019",Out (Nose) - Hayward left Wednesday's (Dec. 11) game and will be re-evaluated on Thursday (Dec. 12).
Marcus Smart,BOS,"Wed, Dec 11, 2019",Out (Eye infection) - The Celtics have listed Smart as out for Wednesday's game (Dec. 11) against the Pacers.
Robert Williams,BOS,"Tue, Dec 10, 2019",Out (Hip soreness) - The Celtics have listed Williams III as OUT for Wednesday's game (Dec. 11) against the Pacers.
Kevin Durant,BRK,"Wed, Oct 23, 2019","Out (Achilles) - Nets General Manager Sean Marks said the team does not plan on playing Durant this season, according to Ian Begley of SNY TV."
Kyrie Irving,BRK,"Tue, Dec 10, 2019",Out (Right Shoulder) - Irving is listed as OUT for Wednesday's (Dec. 11) game against the Hornets.
Caris LeVert,BRK,"Thu, Nov 14, 2019","Out (Thumb) - LeVert underwent thumb surgery and will miss four to six weeks with ligament damage, according to Colin Martin of SNY."
Nicolas Batum,CHO,"Wed, Dec 11, 2019",Out (Hand) - Batum is out for Wednesday's (Dec. 11) game against the Nets.
Malik Monk,CHO,"Wed, Dec 11, 2019",Out (Finger) - Monk is out for Wednesday's (Dec. 11) game against Brooklyn.
Marvin Williams,CHO,"Wed, Dec 11, 2019",Out (Knee) - Williams is listed as out for Wednesday's (Dec. 11) game against the Nets.
Cristiano Felicio,CHI,"Wed, Dec 11, 2019",Day To Day (Wrist) - Felicio did not play in Wednesday's (Dec. 11) game against the Hawks.
Chandler Hutchison,CHI,"Wed, Dec 11, 2019",Day To Day (Shoulder Sprain) - Hutchison did not play in Wednesday's (Dec. 11) game.
Otto Porter,CHI,"Tue, Dec 10, 2019",Out (Left Foot) - The Bulls announced that Porter Jr. will be reassessed in four weeks as he recovers from a left foot injury.
Dylan Windler,CLE,"Tue, Nov 26, 2019","Out (Stress Reaction) - Windler has no official timetable table, for his return, however he's making incremental progress toward returning according to Chris Fedor of Advance Ohio."
Delon Wright,DAL,"Wed, Dec 11, 2019",Day To Day (Adductor) - Wright is questionable for Thursday's (Dec. 12) game against Detroit.
Paul Millsap,DEN,"Wed, Dec 11, 2019",Day To Day (Foot) - Millsap is questionable for Thursday's (Dec. 12) game against Portland.
Jamal Murray,DEN,"Wed, Dec 11, 2019",Day To Day (Torso) - Murray is listed as questionable for Thursday's (Dec. 12) game against the Blazers.
Reggie Jackson,DET,"Wed, Dec 4, 2019","Out (Back) - Jackson is making progress and will be re-evaluated in two weeks, according to Rod Beard of The Detroit News."
Khyri Thomas,DET,"Wed, Nov 13, 2019","Out (Right Foot) - Thomas had surgery on his right foot and will miss at least six weeks, according to Rob Beard of The Detroit News."
Stephen Curry,GSW,"Fri, Dec 6, 2019","Out (Hand) - Curry had a second surgery on his left hand and will be re-evaluated in February, according to Shams Charania of The Athletic."
Klay Thompson,GSW,"Wed, Oct 23, 2019","Out (Left Knee ACL Tear) - Thompson is not expected to play this season as he recovers from a ACL tear late last season, according to a report from NBC Sports Bay Area."
Tyson Chandler,HOU,"Tue, Dec 10, 2019",Day To Day (Illness) - Chandler did not play in Wednesday's (Dec. 11) game against the Cavs.
Eric Gordon,HOU,"Wed, Nov 20, 2019",Out (Knee) - Gordon is still on course for a late December return from knee surgery according to Ben DuBose of USA Today.
Gerald Green,HOU,"Mon, Oct 28, 2019","Out (Left Foot) - Houston Rockets G-F Gerald Green is expected to miss six months after having surgery, according to Jonathan Feigen of the Houston Chronicle."
Nene Hilario,HOU,"Fri, Nov 22, 2019",Out (Abductor) - Nene is still away from the team and there is currently no timeline for his return according to Vincent Sung of Clutch Points.
Austin Rivers,HOU,"Wed, Dec 11, 2019",Day To Day (Illnes) - Rivers did not play in Wednesday's (Dec. 11) game against Cleveland.
Victor Oladipo,IND,"Tue, Nov 12, 2019","Out (Quad) - Oladipo is making progress and is starting to train with the team's G-League affiliate, according to Shams Charania of The Athletic. There is no timetable for his return."
JaKarr Sampson,IND,"Wed, Dec 11, 2019",Out (Back) - Sampson is out for Wednesday's (Dec. 11) game against Boston.
Patrick Beverley,LAC,"Wed, Dec 11, 2019",Out (Concussion) - Beverley left Wednesday's (Dec. 11) game and will not return.
JaMychal Green,LAC,"Wed, Dec 11, 2019",Day To Day (Tailbone) - Green did not play in Wednesday's (Dec. 11) game against the Raptors.
Rodney McGruder,LAC,"Tue, Dec 10, 2019",Day To Day (Hamstring) - McGruder did not play in Wednesday's (Dec. 11) game against the Raptors.
Landry Shamet,LAC,"Tue, Dec 10, 2019",Day To Day (Ankle) - Shamet did not play in Wednesday's (Dec. 11) game against the Raptors.
