player_id,name,field_goal_percentage,three_point_percentage,free_throw_percentage,rebounds,assists,steals,blocks,turnovers,points
1,Steven Adams,0.619,0,0.509,9.1,2.8,0.6,1.2,1.4,11.1
2,Bam Adebayo,0.571,0.167,0.65,10.4,4,1.3,1.2,2.8,14.3
3,LaMarcus Aldridge,0.513,0.364,0.838,7,2.4,0.6,1.8,1.6,18.9
4,Nickeil Alexander-Walker,0.326,0.333,0.714,2.3,2.1,0.3,0.1,1.2,6.5
5,Grayson Allen,0.347,0.306,0.882,3.1,1.6,0.4,0,1.1,7.1
6,Jarrett Allen,0.673,0,0.598,10.5,1.1,0.8,1.4,1.2,12
7,Kadeem Allen,0.5,0.75,,0,2,1,0,1,9
8,Al-Farouq Aminu,0.291,0.25,0.655,4.8,1.2,1,0.4,0.9,4.3
9,Kyle Anderson,0.505,0.25,0.571,4.4,2.6,0.7,0.7,0.9,6.7
10,Ryan Anderson,0.286,0.2,,3.5,1,0.5,0,0.5,2.5
11,Giannis Antetokounmpo,0.564,0.316,0.593,13.1,5.4,1.3,1.3,3.9,30.8
12,Kostas Antetokounmpo,,,,0.5,0,0,0,0,0
13,Thanasis Antetokounmpo,0.6,,0.5,0.8,1,0,0,0.5,3.5
14,Carmelo Anthony,0.434,0.382,0.862,5.6,1.7,0.9,0.2,2.1,16.7
15,OG Anunoby,0.521,0.427,0.52,5.4,1.8,1.2,0.9,1.2,10.9
16,Ryan Arcidiacono,0.381,0.415,0.75,1.7,1.7,0.5,0.1,0.7,4.4
17,Trevor Ariza,0.361,0.362,0.778,3.6,0.9,0.9,0.1,0.8,4.9
18,D.J. Augustin,0.377,0.311,0.877,2.5,4.7,0.7,0,1.5,9.6
19,Deandre Ayton,0.643,,,11,0,1,4,0,18
20,Dwayne Bacon,0.32,0.238,0.679,2.6,1.2,0.8,0.1,1.1,6.8
21,Marvin Bagley,0.375,,0.5,10,0,1,1,1,14
22,Lonzo Ball,0.391,0.366,0.714,4.4,6,1.2,0.4,2.7,11.6
23,Mo Bamba,0.419,0.385,0.5,5.4,0.5,0.3,1.4,1.3,5.4
24,J.J. Barea,0.5,0.692,1,1.5,3,0.5,0.3,1,10.8
25,Harrison Barnes,0.48,0.372,0.802,5.1,2.2,0.9,0.2,1.5,16.5
26,RJ Barrett,0.396,0.309,0.533,5.1,3.3,1.4,0.5,2.5,14.4
27,Will Barton,0.447,0.405,0.732,6.7,3.3,0.9,0.4,1.3,14.4
28,Keita Bates-Diop,0.517,0.469,0.625,2.7,0.4,0.4,0.4,0.5,8
29,Nicolas Batum,0.364,0.273,1,4.4,3.2,0.8,0.5,1.5,3.5
30,Aron Baynes,0.563,0.439,0.706,5.7,2.9,0.3,0.7,1.1,14.7
31,Kent Bazemore,0.349,0.346,0.791,4.3,1.7,0.9,0.7,1.4,7.8
32,Darius Bazley,0.416,0.368,0.563,3.5,0.6,0.3,0.4,0.8,4.1
33,Bradley Beal,0.46,0.348,0.827,4.7,7,1,0.2,3.5,28.3
34,Malik Beasley,0.381,0.42,0.857,1.3,1,0.5,0.1,1,6.7
35,Marco Belinelli,0.315,0.333,0.714,1.7,1.5,0.2,0,0.4,5.4
